id,lib,perimetre,nbcom,info1,info2,info3,layer,path
acv001,Abbeville,Commune,"1",,,,acv zonage,N:/DST/Carto/INTERACTIVITE/SUPERPOSEUR/superposeur/data/acv.topojson|layername=zonage
acv002,Agde,Commune,"1",,,,acv zonage,N:/DST/Carto/INTERACTIVITE/SUPERPOSEUR/superposeur/data/acv.topojson|layername=zonage
acv003,Agen,Commune,"1",,,,acv zonage,N:/DST/Carto/INTERACTIVITE/SUPERPOSEUR/superposeur/data/acv.topojson|layername=zonage
acv004,Ajaccio,Commune,"1",,,,acv zonage,N:/DST/Carto/INTERACTIVITE/SUPERPOSEUR/superposeur/data/acv.topojson|layername=zonage
acv005,Albi,Commune,"1",,,,acv zonage,N:/DST/Carto/INTERACTIVITE/SUPERPOSEUR/superposeur/data/acv.topojson|layername=zonage
acv006,Alençon,Commune,"1",,,,acv zonage,N:/DST/Carto/INTERACTIVITE/SUPERPOSEUR/superposeur/data/acv.topojson|layername=zonage
acv007,Alès,Commune,"1",,,,acv zonage,N:/DST/Carto/INTERACTIVITE/SUPERPOSEUR/superposeur/data/acv.topojson|layername=zonage
acv008,Ambérieu-en-Bugey,Commune,"1",,,,acv zonage,N:/DST/Carto/INTERACTIVITE/SUPERPOSEUR/superposeur/data/acv.topojson|layername=zonage
acv009,Angoulême,Commune,"1",,,,acv zonage,N:/DST/Carto/INTERACTIVITE/SUPERPOSEUR/superposeur/data/acv.topojson|layername=zonage
acv010,Annonay,Commune,"1",,,,acv zonage,N:/DST/Carto/INTERACTIVITE/SUPERPOSEUR/superposeur/data/acv.topojson|layername=zonage
acv011,Argentan,Commune,"1",,,,acv zonage,N:/DST/Carto/INTERACTIVITE/SUPERPOSEUR/superposeur/data/acv.topojson|layername=zonage
acv012,Arles,Commune,"1",,,,acv zonage,N:/DST/Carto/INTERACTIVITE/SUPERPOSEUR/superposeur/data/acv.topojson|layername=zonage
acv013,Arpajon,Commune,"1",,,,acv zonage,N:/DST/Carto/INTERACTIVITE/SUPERPOSEUR/superposeur/data/acv.topojson|layername=zonage
acv014,Arras,Commune,"1",,,,acv zonage,N:/DST/Carto/INTERACTIVITE/SUPERPOSEUR/superposeur/data/acv.topojson|layername=zonage
acv015,Aubenas,Commune,"1",,,,acv zonage,N:/DST/Carto/INTERACTIVITE/SUPERPOSEUR/superposeur/data/acv.topojson|layername=zonage
acv016,Auch,Commune,"1",,,,acv zonage,N:/DST/Carto/INTERACTIVITE/SUPERPOSEUR/superposeur/data/acv.topojson|layername=zonage
acv017,Aurillac,Commune,"1",,,,acv zonage,N:/DST/Carto/INTERACTIVITE/SUPERPOSEUR/superposeur/data/acv.topojson|layername=zonage
acv018,Autun,Commune,"1",,,,acv zonage,N:/DST/Carto/INTERACTIVITE/SUPERPOSEUR/superposeur/data/acv.topojson|layername=zonage
